menu_category,menu_item,size,ingredient_name,qty_used,unit,recipe_type
Lemonade,Lemonade (Regular),regular,Lemonade Base,30,ml,base
Lemonade,Lemonade (Regular),regular,Water,170,ml,base
Lemonade,Lemonade (Regular),regular,Ice,250,g,base
Lemonade,Lemonade (Regular),regular,Cup 22oz,1,pc,base
Lemonade,Lemonade (Regular),regular,Sealing Film,1,pc,base
Lemonade,Green Apple Lemonade,regular,Lemonade Base,30,ml,base
Lemonade,Green Apple Lemonade,regular,Water,170,ml,base
Lemonade,Green Apple Lemonade,regular,Ice,250,g,base
Lemonade,Green Apple Lemonade,regular,Cup 22oz,1,pc,base
Lemonade,Green Apple Lemonade,regular,Sealing Film,1,pc,base
Lemonade,Green Apple Lemonade,regular,Green Apple Syrup,20,ml,base
Lemonade,Strawberry Lemonade,regular,Lemonade Base,30,ml,base
Lemonade,Strawberry Lemonade,regular,Water,170,ml,base
Lemonade,Strawberry Lemonade,regular,Ice,250,g,base
Lemonade,Strawberry Lemonade,regular,Cup 22oz,1,pc,base
Lemonade,Strawberry Lemonade,regular,Sealing Film,1,pc,base
Lemonade,Strawberry Lemonade,regular,Strawberry Syrup,20,ml,base
Lemonade,Blueberry Lemonade,regular,Lemonade Base,30,ml,base
Lemonade,Blueberry Lemonade,regular,Water,170,ml,base
Lemonade,Blueberry Lemonade,regular,Ice,250,g,base
Lemonade,Blueberry Lemonade,regular,Cup 22oz,1,pc,base
Lemonade,Blueberry Lemonade,regular,Sealing Film,1,pc,base
Lemonade,Blueberry Lemonade,regular,Blueberry Syrup,20,ml,base
Lemonade,Peach Lemonade,regular,Lemonade Base,30,ml,base
Lemonade,Peach Lemonade,regular,Water,170,ml,base
Lemonade,Peach Lemonade,regular,Ice,250,g,base
Lemonade,Peach Lemonade,regular,Cup 22oz,1,pc,base
Lemonade,Peach Lemonade,regular,Sealing Film,1,pc,base
Lemonade,Peach Lemonade,regular,Peach Syrup,20,ml,base
Lemonade,Lychee Lemonade,regular,Lemonade Base,30,ml,base
Lemonade,Lychee Lemonade,regular,Water,170,ml,base
Lemonade,Lychee Lemonade,regular,Ice,250,g,base
Lemonade,Lychee Lemonade,regular,Cup 22oz,1,pc,base
Lemonade,Lychee Lemonade,regular,Sealing Film,1,pc,base
Lemonade,Lychee Lemonade,regular,Lychee Syrup,20,ml,base
Lemonade,Strawberry Lemon,regular,Lemonade Base,30,ml,base
Lemonade,Strawberry Lemon,regular,Water,170,ml,base
